Site Name:,Snake Range West Pinyon-Juniper,,Snake Range West Subalpine,,Snake Range West Montane,
Deployment:,Wind velocity monitor,,Wind velocity monitor,,Wind velocity monitor,
Monitored System:,Atmosphere,,Atmosphere,,Atmosphere,
Measured Property:,Wind speed,,Wind speed,,Wind speed,
Vertical Offset from Surface:,10m height,,10m height,,10m height,
Units:,m/s,,m/s,,m/s,
Measurement Type:,Average,,Average,,Average,
Aggregation interval:,1-Hour aggregates of 00:10:00 data,,1-Hour aggregates of 00:10:00 data,,1-Hour aggregates of 00:10:00 data,
Time Stamp ((UTC-08:00) Pacific Time (US & Canada)),Aggregated Value,Number of Constituient Values,Aggregated Value,Number of Constituient Values,Aggregated Value,Number of Constituient Values
6/4/2016 3:00:00 AM,1.369507040000000000,6,2.389205280000000000,6,2.698929493000000000,6
6/4/2016 4:00:00 AM,0.578767786000000000,6,2.559602026000000000,6,3.048961813000000000,6
6/4/2016 5:00:00 AM,0.481089546000000000,6,1.682658560000000000,6,1.574474880000000000,6
6/4/2016 6:00:00 AM,0.474532960000000000,6,0.727855626000000000,6,0.566548693000000000,6
6/4/2016 7:00:00 AM,0.559619573000000000,6,1.253351146000000000,6,1.030874240000000000,6
6/4/2016 8:00:00 AM,0.654243040000000000,6,1.778325120000000000,6,0.383485813000000000,6
6/4/2016 9:00:00 AM,1.100090933000000000,6,1.251562986000000000,6,0.693284533000000000,6
6/4/2016 10:00:00 AM,1.589674240000000000,6,1.071405866000000000,6,0.842372373000000000,6
6/4/2016 11:00:00 AM,1.636687946000000000,6,1.275852160000000000,6,0.910471466000000000,6
6/4/2016 12:00:00 PM,2.221416266000000000,6,1.237630240000000000,6,1.303047093000000000,6
6/4/2016 1:00:00 PM,2.579197280000000000,6,1.756643680000000000,6,1.603010933000000000,6
6/4/2016 2:00:00 PM,2.266343786000000000,6,1.912958666000000000,6,1.607555840000000000,6
6/4/2016 3:00:00 PM,2.438156160000000000,6,1.360938773000000000,6,1.361683840000000000,6
6/4/2016 4:00:00 PM,3.242753653000000000,6,1.367718880000000000,6,1.642648480000000000,6
6/4/2016 5:00:00 PM,2.745868693000000000,6,1.102028106000000000,6,1.799186986000000000,6
6/4/2016 6:00:00 PM,2.565637066000000000,6,1.023125546000000000,6,1.539158720000000000,6
6/4/2016 7:00:00 PM,1.276522720000000000,6,1.375393066000000000,6,1.952819733000000000,6
6/4/2016 8:00:00 PM,3.060286826000000000,6,1.951776640000000000,6,3.048738293000000000,6
6/4/2016 9:00:00 PM,3.966660426000000000,6,2.537548053000000000,6,3.689123093000000000,6
6/4/2016 10:00:00 PM,1.598391520000000000,6,2.499028106000000000,6,3.434682826000000000,6
6/4/2016 11:00:00 PM,1.134065973000000000,6,2.193774293000000000,6,3.022139413000000000,6
6/5/2016 12:00:00 AM,0.994291466000000000,6,1.862964693000000000,6,1.821315466000000000,6
6/5/2016 1:00:00 AM,1.291126026000000000,6,1.937471360000000000,6,1.266836853000000000,6
6/5/2016 2:00:00 AM,0.698276480000000000,6,1.710822080000000000,6,1.181899253000000000,6
